First Name,Last Name,Email,Phone,Company Name,Tags,Website,Source
,,lord.built@verizon.net,+18632387811,"Lord Built Construction, Inc.","import:supabase, status:outreach_sent, niche:remodeler",https://www.lordbuiltconstructioninc.com/,google_places
,,legacyds@yahoo.com,+18636981440,"Legacy Dance Studio, LLC","import:supabase, status:outreach_sent, niche:dance studio",https://legacydancebartow.com/,google_places
Momentum,Mechanical,admin@momentummechanical.com,+18176240024,,"import:supabase, status:sequence_complete",,direct-audit
,,ironheadtreeservices@gmail.com,+18633072553,IronHead Tree Service,"import:supabase, status:outreach_sent, niche:tree removal service",https://www.ironheadtreeservice.com/,google_places
,,lakeland@1tomplumber.com,+18632251411,1-Tom-Plumber,"import:supabase, status:outreach_sent, niche:plumbing company",https://www.1tomplumber.com/lakeland-fl/,google_places
,,proplumbing1@originalplumber.com,+18636691905,Pro Plumbing LLC,"import:supabase, status:outreach_sent, niche:plumbing company",http://originalplumber.com/,google_places
,,ljrenovations22@gmail.com,+18633408022,L & J Home Renovations,"import:supabase, status:outreach_sent, niche:remodeler",https://www.ljhomerenovations.com/,google_places
,,centerstateplumbing@gmail.com,+18636696008,"Centerstate Plumbing Services, LLC","import:supabase, status:outreach_sent, niche:plumbing company",http://www.centerstateplumbing.com/,google_places
daniel,coffman,nearmiss1193@gmail.com,,,"import:supabase, status:new",,direct-audit
,,cheyenne@true-builders.com,+18633439018,True Plumbers & AC,"import:supabase, status:outreach_sent, niche:plumbing company",https://trueplumbers.com/lakeland/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Lakeland-FL,google_places
Unknown,,secret_shopper_fixed@aiserviceco.com,,,"import:supabase, status:new",,direct-audit
,,absolutetpfl@gmail.com,+18638009618,Absolute Termite and Pests LLC,"import:supabase, status:outreach_sent, niche:pest control company",http://www.absolutetermiteandpestsllc.com/,google_places
,,jlocke@johnlockepainting.com,+18636477000,"John Locke Painting, Inc","import:supabase, status:outreach_sent, niche:painting contractor",http://www.johnlockepainting.com/,google_places
,,service@totalpestsolutionsfl.com,+18635853636,"Total Pest Solutions, Inc.","import:supabase, status:outreach_sent, niche:pest control company",https://totalpestsolutionsfl.com/,google_places
,,northsidelakeland@gmail.com,+18636861977,Northside Christian Preschool,"import:supabase, status:outreach_sent, niche:preschool",https://www.northsidelakeland.com/preschool,google_places
,,gullettroofing@hotmail.com,+18634122821,Gullett Roofing,"import:supabase, status:new, niche:roofing contractor",http://www.gullettroofing.com/,google_places
Owner,27,contact@cooling27.com,+18635550027,,"import:supabase, status:new",https://www.cooling27.com,direct-audit
Dallas,Heating & Cooling,quotes@dallashvac.com,+12145550162,,"import:supabase, status:new",,direct-audit
Nextdoor,Ad Sales,ads@nextdoor.com,,,"import:supabase, status:new",https://nextdoor.com,direct-audit
TemperaturePro,,northaustin@temperaturepro.com,+15122225375,,"import:supabase, status:new",,direct-audit
Northside,Air Conditioning,info@northsideair.com,+19729966511,,"import:supabase, status:new",,direct-audit
BCS,Air Solutions,admin@airsolutionsbcs.com,+1979.693.2984,,"import:supabase, status:new",,direct-audit
Springer,,derek@springerbrosac.com,+18636880448,"Springer Bros. Air Conditioning & Heating, LLC","import:supabase, status:new, niche:Hvac Contractor",https://springerbros.net/?utm_source=Website&utm_medium=GMB,lakeland_finds_directory
austin,owner,admin@austineliteplumber.com,,,"import:supabase, status:new",,direct-audit
top,owner,info@bestlocksmithaustin.com,,,"import:supabase, status:new",,direct-audit
tampa,owner,admin@tampaelitehvac.com,,,"import:supabase, status:new",,direct-audit
top,owner,info@besthvacaustin.com,,,"import:supabase, status:new",,direct-audit
top,owner,info@bestelectriciantampa.com,,,"import:supabase, status:new",,direct-audit
tampa,owner,admin@tampaeliteplumber.com,,,"import:supabase, status:new",,direct-audit
top,owner,info@bestlocksmithtampa.com,,,"import:supabase, status:new",,direct-audit
sunset,law firm,info@sunsetlawfirm.io,,,"import:supabase, status:new",,direct-audit
pacific,legal group,info@pacificlegal.io,,,"import:supabase, status:new",,direct-audit
west,coast justice,info@westcoastjustice.net,,,"import:supabase, status:new",,direct-audit
metro,accident pros,info@metroaccident-la.com,,,"import:supabase, status:new",,direct-audit
top,owner,info@besthvactampa.com,,,"import:supabase, status:new",,direct-audit
flood,proof miami,info@floodproofmiami.io,,,"import:supabase, status:new",,direct-audit
dryout,miami,info@dryoutmiami.net,,,"import:supabase, status:new",,direct-audit
water,damage pro fl,info@waterdamageprofl.com,,,"import:supabase, status:new",,direct-audit
la,injury advocates,info@lainjuryadvocates.com,,,"import:supabase, status:new",,direct-audit
top,owner,info@besthvacdallas.com,,,"import:supabase, status:new",,direct-audit
