name,address,category,phone,website,email,rating,total_ratings,place_id
Lakeland Chamber of Commerce,"35 Lake Morton Dr, Lakeland, FL 33801, USA",Establishment,(863) 688-8551,http://lakelandchamber.com/,,5,28,ChIJTRd7VbU43YgR-nY5lad_XXQ
SCORE,"35 Lake Morton Dr, Lakeland, FL 33801, USA",Establishment,(863) 320-1870,https://score.org/centralflorida/?utm_source=google-business-profile&utm_medium=organic-soci&utm_campaign=main-website-cta,,4,6,ChIJ9yqq57Q43YgROi9SKje9e0M
Catapult Lakeland,"502 E Main St, Lakeland, FL 33801, USA",Establishment,(863) 940-9660,http://catapultlakeland.com/,,4.8,156,ChIJHdXljLU43YgRGqhVNL_DS1E
Lakeland Business Tax Office,"228 S Massachusetts Ave, Lakeland, FL 33801, USA",Accounting,(863) 834-6025,https://www.lakelandgov.net/departments/community-economic-development/economic-development/business-tax/,,5,1,ChIJkbo0N7U43YgReyJErKJOdA8
COhatch Lakeland,"211 E Main St, Lakeland, FL 33801, USA",Establishment,(863) 430-0507,http://www.cohatch.com/locations/tampa/lakeland/?utm_source=google&utm_medium=organic&utm_campaign=gbp,,4.9,85,ChIJM1rRc9k53YgRTbrdmg8sM-w
The Interesting Conversations Company,"502 E Main St, Lakeland, FL 33801, USA",Establishment,(863) 602-4688,https://interestingconversations.com/,,5,125,ChIJFcCTUis_3YgRm0q14MDRPl0
Boring Business Systems - IT Support Services,"950 E Main St, Lakeland, FL 33801, USA",Establishment,(863) 686-3167,http://www.boring.com/,,4.9,15,ChIJSy5Y3kg_3YgRjud35SNXGmc
Lakeland Business Broker - Transworld Business Advisors -Michael Shea PA,"231 N Kentucky Ave #212, Lakeland, FL 33801, USA",Establishment,(321) 287-0349,http://www.yourfloridabusinessbroker.com/,,5,19,ChIJoQglEx453YgRyODGIGvWh84
BRIDGE Local,"303 Florida Ave S Suite 200, Lakeland, FL 33801, USA",Establishment,(863) 606-5995,https://bridgelocal.com/,,5,8,ChIJV4chiLQ43YgRunSRkgG2V4Y
Royal Fischer,"502 E Main St, Lakeland, FL 33801, USA",Establishment,(863) 349-3881,http://www.royalfischer.org/,,5,63,ChIJ75PZ4yVH3YgRtRe4dNcYWes
FL Business Sales- Chris Gutierrez,"124 Florida Ave S suite 301, Lakeland, FL 33801, USA",Establishment,(863) 682-4600,http://www.flbusinesssales.com/,,5,9,ChIJkduadN443YgR87okhfkb3G4
Murphy Business Brokers Lakeland - Celine Dufresne,"2420 N Crystal Lake Dr #100, Lakeland, FL 33801, USA",Establishment,(941) 302-2857,https://murphybusiness.com/lakeland?utm_source=gmb&utm_medium=organic&utm_campaign=Qiigo,,5,10,ChIJq0mih6c_3YgRwtSpWa5FWIQ
Thrive,"204 E Orange St #301, Lakeland, FL 33801, USA",Establishment,(866) 205-2810,https://thrivenextgen.com/,,4.6,14,ChIJ0XRIlIY33YgRU-SIbKjS9eM
WinFactor,"502 E Main St, Lakeland, FL 33801, USA",Establishment,(863) 291-4268,https://www.winfactor.com/,,5,28,ChIJYyifw6VNwUIRua0YKbb71lM
The Corner Office (Formerly My Office & More),"122 E Main St, Lakeland, FL 33801, USA",Establishment,(863) 333-5120,http://thecornerofficelakeland.com/,,4.7,101,ChIJ6986WbQ43YgRxrWI9a8Dlnc
Knowledge Managements,"1865 N Crystal Lake Dr, Lakeland, FL 33801, USA",Establishment,(866) 990-6263,,,4.5,4,ChIJfV4N9hLHwogR48qRqiHb74c
Alltek Services,"2850 Interstate Dr Suite 168, Lakeland, FL 33805, USA",Establishment,(863) 709-0709,https://www.alltekservices.com/?utm_source=google&utm_medium=local&utm_campaign=gmb,,5,55,ChIJbZYMGMqR4okRqVqRoGiVt6M
The APEX Agency,"100 S Kentucky Ave #218, Lakeland, FL 33801, USA",Establishment,(863) 225-1250,https://the-apex.agency/?utm_source=google&utm_medium=organic&utm_campaign=gbp,,5,10,ChIJuTzXAAI53YgR0eoEwJKia0I
Florida Department of Revenue - Lakeland Taxpayer Service Center,"115 S Missouri Ave #202, Lakeland, FL 33815, USA",Accounting,(863) 499-2260,http://floridarevenue.com/taxes/Pages/servicecenters.aspx,,3.1,15,ChIJQTjLorU43YgRJ2uEj122z7k
Polk Services LLC,"5110 Greenbrook Ln, Lakeland, FL 33811, USA",Establishment,(863) 344-5806,https://www.polkservicesllc.com/,,5,39,ChIJKdbjoYM73YgRdFnRUlkFMJU
City of Lakeland Civil Service,"500 N Lake Parker Ave, Lakeland, FL 33801, USA",Establishment,(863) 834-8790,,,3,4,ChIJnfbko0U_3YgR5Rch9kREiww
DDJ Transportation Lakeland,"211 E Main St, Lakeland, FL 33801, USA",Establishment,(407) 885-7433,https://ddjtransport.com/lakeland-florida-medical-transport/,,4.7,59,ChIJ4WrehoYX3YgRnE_B3QToQYs
Kelly Services Professional & Industrial,"1476 Town Center Dr Suite #223, Lakeland, FL 33803, USA",Establishment,(863) 688-4141,https://www.kellyservices.us/?utm_source=gmb-listing&utm_medium=organic&utm_campaign=all_both_local-listings&utm_content=lakeland-fl,,2.5,27,ChIJgSVMJBQ53YgRYiFiXda_fWk
Lakeland Radiator Services,"1053 E Rose St, Lakeland, FL 33801, USA",Car Repair,(863) 682-6053,,,4.8,34,ChIJPXHbq0g_3YgRkkmUbPL6AuM
CareerSource Polk - Lakeland,"309 N Ingraham Ave, Lakeland, FL 33801, USA",Establishment,(863) 508-1100,http://www.careersourcepolk.com/,,4.1,113,ChIJW_fZLk8_3YgRxT1a4kRRzh4
Hydraulic Services Inc,"740 Creative Dr, Lakeland, FL 33813, USA",Establishment,(863) 644-7511,http://hydraulicservicesusa.com/,,3.8,12,ChIJS9SMUuQ73YgRPnb91Y_HU9w
