name,address,category,phone,website,email,rating,total_ratings,place_id
Sun State Janitorial Products,"1802 S Combee Rd, Lakeland, FL 33801, USA",Establishment,(863) 688-9478,http://www.sunstatejan.com/catalog,,4.5,13,ChIJ57Al5OA-3YgRUAgQ212saTc
Janitorial Superstore,"3232 Dundee Rd, Winter Haven, FL 33884, USA",Establishment,(863) 324-0911,http://www.janitorialsuperstore.com/,,4.9,49,ChIJIUSlvGcN3YgRrOzGP2KjvW4
Gem Supply Company,"1802 S Combee Rd, Lakeland, FL 33801, USA",Establishment,(863) 393-9088,http://www.gemsupply.net/,,4.9,8,ChIJQySgkKk_3YgRLj5FXtqIgyI
Janitorial Superstore,"2800 Deer Creek Commerce Ln, Davenport, FL 33837, USA",Establishment,(863) 324-0911,http://www.janitorialsuperstore.com/,,4.7,25,ChIJLYnKi4Zw3YgRx1yAUR9hlhA
Supreme Maintenance Organization,"2420 N Crystal Lake Dr, Lakeland, FL 33801, USA",Establishment,(800) 717-4766,https://www.smoworks.com/,,,,ChIJ1QkSuqE_3YgRmGkxmBVWxs4
TLG,"6621 Tula Ln, Lakeland, FL 33809, USA",Establishment,,,,,,ChIJx7sGfQBH3YgRHX1s-dsCInM
HD Supply Facilities Maintenance,"6850 Firstpark Blvd Suite 150, Lakeland, FL 33805, USA",Establishment,(800) 431-3000,https://hdsupplysolutions.com/,,2.8,24,ChIJ59O_VJ5B3YgRpT6L3dzb-xY
Zaharaly Cleaners Inc,"Great Oak Dr, Lakeland, FL 33815, USA",Establishment,(863) 205-3425,https://zaharalycleaners.com/,,5,6,ChIJlwxGe1Q33YgR7zl0vFwFuhk
Early Janitorial Supplies,"4104 Rolling Oak Dr, Lakeland, FL 33810, USA",Establishment,(863) 665-4240,,,,,ChIJd7M5Mz1G3YgR4xu4gOOtgOc
"Jet Security LLC, Lakeland, Florida","122 E Main St #292, Lakeland, FL 33801, USA",Establishment,(832) 657-4767,https://jetsecuritypros.com/florida/,,5,1,ChIJmZfckY853YgRN6OPxfbmNW8
Signal of Lakeland,"5120 Florida Ave S #301, Lakeland, FL 33813, USA",Establishment,(863) 225-1788,https://locations.teamsignal.com/us/fl/lakeland/411/,,3.9,25,ChIJd89onafRwogRXReAMYajDrM
Securitas Security Services USA,"4175 Pipkin Rd S, Lakeland, FL 33811, USA",Establishment,(863) 648-5335,https://www.securitasinc.com/,,5,1,ChIJqQ55i9s53YgRAFWCvauGXnA
Allied Universal® Security Services,"1832 N Crystal Lake Dr, Lakeland, FL 33801, USA",Establishment,(863) 682-2023,https://www.aus.com/tampa-security-systems-services?utm_source=gmb&utm_medium=organic,,3.6,37,ChIJI46lZpU53YgRim9E21eYwmQ
"St. Moritz Security Services, Inc.","2054 E Edgewood Dr, Lakeland, FL 33803, USA",Establishment,(800) 218-9156,http://www.smssi.com/,,3,6,ChIJ2Wb-y-I-3YgRsVlCGRZr5wg
PGS USA,"500 Florida Ave S Suite 406, Lakeland, FL 33801, USA",Establishment,(888) 940-4747,http://platinumgroupsecurity.com/,,2.7,7,ChIJPYF5MJM53YgRQzFItYF9CZg
A.L.S. Security Solutions,"15915 Brown Shinn Rd, Polk City, FL 33868, USA",Electrician,(863) 420-2900,https://alssecuritysolutions.com/?utm_source=gmb,,5,161,ChIJ45vPMj173YgRSHCh8mRCQek
ADT Security Services,"1424 Commercial Park Dr Unit 6, Lakeland, FL 33801, USA",Electronics Store,(800) 743-6242,https://www.adt.com/local/fl/lakeland?utm_source=google&utm_medium=localseo&utm_campaign=website,,1.6,60,ChIJXWiEFkI-3YgRIGUHhNbJjJQ
HD Cameras USA - Lakeland Security Camera Installation,"1543 Lakeland Hills Blvd Suite 11, Lakeland, FL 33805, USA",Establishment,(863) 473-5063,https://hdcamerasusa.com/lakeland-security-camera-installation/,,5,8,ChIJ05g7mGVB3YgRjb75L9ak-OM
SSC1 Protection LLC,"114 E Parker St, Lakeland, FL 33801, USA",Establishment,,https://www.ssc1protection.com/,,,,ChIJg8piOQA53YgR1FCYxZJwPio
Lakeland Security Training Center,"5120 Florida Ave S, Lakeland, FL 33813, USA",Establishment,(863) 937-9756,,,5,1,ChIJOeH1lgk53YgRdLENdLourkY
Dynamic Security,"2020 S Combee Rd Suite #1, Lakeland, FL 33801, USA",Establishment,(321) 424-6100,http://www.dynamicsec.com/,,2,4,ChIJhZv1UAo_3YgR_3egaC9Cwqc
"Sonitrol of Polk County, LLC","2500 Drane Field Rd STE 106, Lakeland, FL 33811, USA",Establishment,(800) 444-1191,http://www.sonitrolofflorida.com/,,4.9,8,ChIJyy3RFwg53YgR2CmB-NgWaHk
