name,address,category,phone,website,email,rating,total_ratings,place_id
Lakeland Air Conditioning Company,"1220 George Jenkins Blvd, Lakeland, FL 33815, USA",Hvac Contractor,(863) 859-4090,http://thelakelandac.com/,ed436f5053144538958ad06a5005e99a@sentry.wixpress.com,4.9,1242,ChIJsd-iWipB3YgRgyU68prsVLc
"Springer Bros. Air Conditioning & Heating, LLC","41 Lake Morton Dr #25, Lakeland, FL 33801, USA",Hvac Contractor,(863) 688-0448,https://springerbros.net/?utm_source=Website&utm_medium=GMB,derek@springerbrosac.com,4.9,525,ChIJAftzqEo_3YgR9oW2a0zk7_U
"J. Molnar Heating & Cooling, Inc.","440 S Combee Rd, Lakeland, FL 33801, USA",Hvac Contractor,(863) 333-4916,http://www.molnarair.com/,info@molnarair.com,5,677,ChIJXeu3xsw93YgRT8QbIF59WGM
Graham Heating & Air Conditioning - Lakeland,"2201 S Combee Rd, Lakeland, FL 33801, USA",Hvac Contractor,(863) 329-6770,https://www.grahamac.com/lakeland,info@grahamac.com,4.8,186,ChIJAWWpw5A_3YgRLiLwd4xI1V0
ACS Home Services- Lakeland,"122 E Main St, Lakeland, FL 33801, USA",Hvac Contractor,(863) 215-6581,https://www.acshomeservices.com/lakeland/,,4.9,75,ChIJAzMYZvs53YgROZ5UZ0oWobc
Pro Air Heating and Cooling,"4798 Florida Ave S, Lakeland, FL 33813, USA",Hvac Contractor,(863) 683-4499,http://www.proairheatingcooling.com/,support@proairheatingcooling.com,5,429,ChIJn9YAPnc83YgRCfRZD07q8nw
Ryals Brothers Inc.,"2508 N Crystal Lake Dr, Lakeland, FL 33801, USA",Hvac Contractor,(863) 665-8231,https://www.ryalsbrothers.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,,5,194,ChIJsYrKnqc_3YgRWTF6eSnAVzs
Expedited Heat & Air,"3710 Airport Commerce Dr suite 2, Lakeland, FL 33811, USA",Hvac Contractor,(863) 320-1776,https://expeditedheatandair.com/,office@expeditedheatandair.com,4.8,671,ChIJM-XPXbk53YgRvk4DNXWHxFI
ProCare Lakeland HVAC Repair,"5902 Woodhaven Dr, Lakeland, FL 33811, USA",Hvac Contractor,(863) 351-0854,https://procarelakelandhvacexperts.com/,,5,25,ChIJY8wX0eA73YgRQ5vsOHDacLs
"Price Busters Heating & Air Conditioning, LLC","114 S Eastside Dr, Lakeland, FL 33801, USA",Hvac Contractor,(863) 450-3127,https://www.pricebustersair.com/,,4.8,332,ChIJkwYT9Tk43YgRKjW8zyuHBIg
Rideout & Sons Air Conditioning and Heating,"508 N Ingraham Ave, Lakeland, FL 33801, USA",Hvac Contractor,(863) 644-8852,http://rideoutandsons.com/,,4.7,117,ChIJZ-3RrE8_3YgRy-ZTM5qRT14
Enjoy Heating & Cooling,"2229 E Main St, Lakeland, FL 33801, USA",Hvac Contractor,(863) 667-3200,http://www.enjoyac.com/,,4.9,172,ChIJOSGzXD0_3YgRLYBG2kE6uQM
